file,source_key,title,slug,url,date,year,month,tags,categories,summary,keywords,primary_theme,theme_scores,style,style_scores,word_count,sentence_count,avg_sentence_length
content\posts\LaTeX入门2.zh-cn.md,LaTeX入门2,LaTeX 与绘图,latex2,https://blog.huaxiangshan.com/zh-cn/posts/latex2/,2022-10-19 18:52:19,2022,10,LaTeX,软件工具,LaTeX 的绘图经验。,LaTeX | 软件工具 | 软件下载 | 环境配置 （两种图片插入方式 | 个人推荐：直接代码插入 | 图片引用插入,软件工具与技术,"{""经济学与方法"": 0, ""软件工具与技术"": 50, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",教程指南,"{""教程指南"": 15, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",162,17,9.53
content\posts\叫魂.zh-cn.md,叫魂,盛世与妖术并行，权力幻觉近在咫尺,soul,https://blog.huaxiangshan.com/zh-cn/posts/soul/,2023-01-21 21:45:16,2023,1,阅读 | 微观历史,阅读,这篇文章围绕清代妖术恐慌事件展开，讨论民间恐慌、皇权运作与官僚困境，并联系当代社会中的权力斗争与叙事操控问题。,阅读 | 微观历史 | 叫魂》: 盛世与妖术并行，“权力幻觉”近在迟尺 | 一、群众舆论：民间传说与人口流动 | 二、文化矛盾：满人治汉 | 三、官僚政治：考核与俱乐部,文学影视与文艺评论,"{""经济学与方法"": 4, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 17, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 1}",学术分析,"{""教程指南"": 1, ""学术分析"": 11, ""评论随笔"": 7, ""文艺评论"": 0, ""游记纪实"": 0}",203,51,3.98
content\posts\一份经济微观数据库的数据清洗快速指南.zh-cn.md,一份经济微观数据库的数据清洗快速指南,一份经济微观数据库的数据清洗快速指南,data,https://blog.huaxiangshan.com/zh-cn/posts/data/,2023-03-14 18:09:26,2023,3,Stata,软件工具 | 经济学习,本文将介绍国内主要的社会调查数据库，并且附上常用的 stata 数据清洗和描述统计代码。也记录了很多我遇到过的数据清洗问题，例如 excel 相关的处理,Stata | 软件工具 | 经济学习 | 一、流行的国内数据库 | 大型、综合数据库 | 二、清洗思路和意义,软件工具与技术,"{""经济学与方法"": 10, ""软件工具与技术"": 28, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 2, ""社会观察与思想随笔"": 11}",学术分析,"{""教程指南"": 22, ""学术分析"": 69, ""评论随笔"": 24, ""文艺评论"": 0, ""游记纪实"": 0}",843,105,8.03
content\posts\电影门.zh-cn.md,电影门,2023 电影谈: 门的那一侧,moviedoor,https://blog.huaxiangshan.com/zh-cn/posts/moviedoor/,2023-05-29 18:52:19,2023,5,电影,影视剧,关于门——《末代皇帝》、《铃芽之旅》、《鲸》的观后感,电影 | 影视剧 | bug | gpt | plus,软件工具与技术,"{""经济学与方法"": 1, ""软件工具与技术"": 6, ""文学影视与文艺评论"": 5, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",文艺评论,"{""教程指南"": 0, ""学术分析"": 5, ""评论随笔"": 3, ""文艺评论"": 9, ""游记纪实"": 0}",99,24,4.12
content\posts\写作建议.zh-cn.md,写作建议,转载：写作建议,xz,https://blog.huaxiangshan.com/zh-cn/posts/xz/,2023-06-11 22:33:21,2023,6,阅读 | 文学 | 转载,阅读 | 经济学习,存档我觉得好的资料，包括文学审美和经济研究的建议,阅读 | 文学 | 转载 | 经济学习 | 毛姆的“写作建议 | 加缪 1957 年诺奖演讲《艺术家及其时代,经济学与方法,"{""经济学与方法"": 10, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 7}",学术分析,"{""教程指南"": 1, ""学术分析"": 15, ""评论随笔"": 6, ""文艺评论"": 10, ""游记纪实"": 0}",2943,736,4.0
content\posts\sss级重生猎人第84章.zh-cn.md,sss级重生猎人第84章,存档：sss 级重生猎人第 84 章,sss,https://blog.huaxiangshan.com/zh-cn/posts/sss/,2023-06-27 22:16:36,2023,6,阅读,阅读,本存档是 sss 重生猎人（84 章），发现本文纯属偶然。原著是韩文小说，B 站有人发的专栏只有机翻。意外看到觉得不错，所以拜托 cc 同学优化语言后存个档。最后我还是凭借个人喜好有所裁剪。机翻倒是意外地弄出点意识流的感觉,阅读 | 存档：sss 级重生猎人第 84 章,文学影视与文艺评论,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 2, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",文艺评论,"{""教程指南"": 5, ""学术分析"": 3, ""评论随笔"": 4, ""文艺评论"": 6, ""游记纪实"": 0}",421,177,2.38
content\posts\文字游戏.zh-cn.md,文字游戏,文字游戏：回到文字,wzyy,https://blog.huaxiangshan.com/zh-cn/posts/wzyy/,2023-07-01 18:52:19,2023,7,游戏,游戏评论,《文字游戏》游戏测评,游戏 | 无法被外文复制的视听体验 | 巧妙的玩梗 | 结局未必快乐 | word | boss,文学影视与文艺评论,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 9, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",文艺评论,"{""教程指南"": 1, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 7, ""游记纪实"": 0}",156,32,4.88
content\posts\范里安《微观经济学》退税案例解析.zh-cn.md,范里安《微观经济学》退税案例解析,范里安《微观经济学》退税案例解析,fla,https://blog.huaxiangshan.com/zh-cn/posts/fla/,2023-07-06 17:01:14,2023,7,微观经济学,经济学习,范里安经典教材《微观经济学：现代观点》（_Intermediate Microeconomics_）在第八章斯勒茨基方程（_Slutsky Equation_）中提出了一个著名的退税案例。本文围绕收入效应和替代效应记录一些个人理解。,微观经济学 | 经济学习 | **一、引入** | **二、去数学化的解释：** | **其一：押金视角（个人观点）** | 其二：税收摩擦，跨期视角,经济学与方法,"{""经济学与方法"": 15, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 5}",学术分析,"{""教程指南"": 2, ""学术分析"": 15, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",254,42,6.05
content\posts\华为.zh-cn.md,华为,关于华为会员服务日，你需要知道的一切,hw,https://blog.huaxiangshan.com/zh-cn/posts/hw/,2023-07-07 17:23:04,2023,7,旅游,游记,关于华为会员日的体验攻略报告。北京五道口店。,旅游 | 游记 | 关于华为会员日，你需要知道的全部 | 一、华为会员日时间 | 二、需要预约吗？ | 三、会员日有哪些服务?,社会观察与思想随笔,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 3, ""社会观察与思想随笔"": 11}",教程指南,"{""教程指南"": 4, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 2}",127,31,4.1
content\posts\概率论茆诗松笔记.zh-cn.md,概率论茆诗松笔记,用一根针测量π？概率论（茆诗松版) 笔记,probability,https://blog.huaxiangshan.com/zh-cn/posts/probability/,2023-08-01 20:27:53,2023,8,概率论,经济学习,这篇笔记围绕《概率论与数理统计》中的一些典型例子展开，涉及古典概型、几何概型、投针问题、问卷调查修正以及贝叶斯公式的应用。,概率论 | 经济学习 | **一、用一根掉在地上的针估测π？** | **1、引入：几何概型** | 2、用一根针估计 $\pi$ | 3、补充：如何确定概率,经济学与方法,"{""经济学与方法"": 3, ""软件工具与技术"": 2, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 3}",学术分析,"{""教程指南"": 7, ""学术分析"": 12, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",555,40,13.88
content\posts\奇葩而通俗的中世纪指南《如何屠龙》.zh-cn.md,奇葩而通俗的中世纪指南《如何屠龙》,奇葩而通俗的中世纪指南《如何屠龙》,tl,https://blog.huaxiangshan.com/zh-cn/posts/tl/,2023-08-05 00:00:36,2023,8,微观历史 | 阅读,阅读,这篇文章介绍了一本风格轻松的中世纪入门读物，重点在于它如何通过幽默叙述和生活细节让读者理解中世纪世界。,微观历史 | 阅读 | 的科普书籍 | 奇葩而通俗的中世纪指南《如何屠龙,经济学与方法,"{""经济学与方法"": 3, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 1, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 1}",教程指南,"{""教程指南"": 10, ""学术分析"": 5, ""评论随笔"": 4, ""文艺评论"": 4, ""游记纪实"": 0}",129,41,3.15
content\posts\原神概率.zh-cn.md,原神概率,原神概率论：材料合成天赋选 10%双倍还是 25%返还？,genshin,https://blog.huaxiangshan.com/zh-cn/posts/genshin/,2023-08-09 18:39:02,2023,8,原神 | 概率论,经济学习,原神概率论：材料合成天赋选 10%双倍还是 25%返还？网上计算数学期望的已经有很多，但是似乎没人计算方差，这里把方差计算补上。,原神 | 概率论 | 经济学习 | 一、设定介绍 | **二、计算期望与方差** | **（一）10%双倍产出的期望与方差**,社会观察与思想随笔,"{""经济学与方法"": 2, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 5}",学术分析,"{""教程指南"": 5, ""学术分析"": 6, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",986,26,37.92
content\posts\看展：时代的容颜.zh-cn.md,看展：时代的容颜,看展：时代的容颜,art,https://blog.huaxiangshan.com/zh-cn/posts/art/,2023-08-20 01:07:44,2023,8,艺术,游记,逛展：国家大剧院人物像主题展——时代的容颜,艺术 | 游记 | 对象上 | 绘画方式上 | 主义者们 | 看展：时代的容颜,旅行调研与地方观察,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 4, ""社会观察与思想随笔"": 3}",评论随笔,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 13, ""文艺评论"": 0, ""游记纪实"": 2}",108,38,2.84
content\posts\自私的基因：利他道德之问.zh-cn.md,自私的基因：利他道德之问,《自私的基因》：利他道德之问,selfishgene,https://blog.huaxiangshan.com/zh-cn/posts/selfishgene/,2023-08-30 14:56:30,2023,8,阅读,阅读,GPT 总结:《自私的基因》通过探讨自然选择和基因之间的关系，揭示了生物进化背后的机制。作者将基因作为自然选择的最小单位，强调基因追求的是提高自身在自然界中的生存几率，而个体行为、族群行为等都可以归结为基因选择的结果。通过逻辑演绎，作者反驳了其他理论层面上的错误，阐述了基因选择理论的观点。与此同时，本书也引发了对自然选择和进化论的深入思考，展示了人类社会运行与生物进化之间的相似和不同之处。,阅读 | 一、自然选择含义中的“自私 | 1、书中的自私是什么？ | **2、自然选择与进化论** | **二、现象到本质的论证手段** | 三、关于书以外的讨论,社会观察与思想随笔,"{""经济学与方法"": 4, ""软件工具与技术"": 1, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 9}",学术分析,"{""教程指南"": 7, ""学术分析"": 25, ""评论随笔"": 11, ""文艺评论"": 0, ""游记纪实"": 0}",1117,188,5.94
content\posts\Citespace文献可视化.zh-cn.md,Citespace文献可视化,Citespace 文献可视化,citespace,https://blog.huaxiangshan.com/zh-cn/posts/citespace/,2023-09-06 16:12:48,2023,9,文献阅读 | 软件推荐 | Citespace,软件工具 | 经济学习,学习了 CiteSpace 用于进行文献可视化。本文也会简单介绍一些其他可以用的网页可视化工具，但重点是 CiteSpace 。写这个文章也是为了记录最（新版 6.2.2 版） 一些网络教程没提及的点和一些更细节的操作事项。,文献阅读 | 软件推荐 | Citespace | 软件工具 | 经济学习 | 一、效果如图,软件工具与技术,"{""经济学与方法"": 2, ""软件工具与技术"": 18, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",教程指南,"{""教程指南"": 28, ""学术分析"": 22, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",480,59,8.14
content\posts\再见绘梨.zh-cn.md,再见绘梨,再见绘梨：不是回忆别人，而是认识自己,zjhl,https://blog.huaxiangshan.com/zh-cn/posts/zjhl/,2023-09-12 17:59:49,2023,9,二次元,阅读,所有疯狂之举的背后，藏着一颗坚韧而纯粹的心脏。理解《再见绘梨》的关键不是明白回忆他人，而是意识到优太在拍摄自己。难以言明，世人不知道我为爱上这个世界倾注了多少努力。,二次元 | 阅读 | 第一层电影：妈妈的电影 | 第二层电影：绘梨的电影 | 情节颠覆 | 伏笔呼应,文学影视与文艺评论,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 54, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",文艺评论,"{""教程指南"": 2, ""学术分析"": 2, ""评论随笔"": 4, ""文艺评论"": 48, ""游记纪实"": 0}",219,68,3.22
content\posts\微观经济：罗伊、霍太林、谢泼德.zh-cn.md,微观经济：罗伊、霍太林、谢泼德,微观经济：罗伊、霍太林、谢泼德,flapxq,https://blog.huaxiangshan.com/zh-cn/posts/flapxq/,2023-09-13 17:23:04,2023,9,微观经济学,经济学习,学习了罗伊、霍太林、谢泼德经济计算式。《平新乔微观经济学十八讲》直接使用了上面三者作为课后试题的计算方法，但是《微观经济学：现代观点》（范里安）中并未提到这部分知识点（数学上感觉平新乔门槛挺高的），因此在此补充记录。,微观经济学 | 经济学习 | 罗伊、霍太林、谢泼德经济计算式 | 总体理解框架 | 一、谢泼德引理（Shephard's lemma | **生产理论，成本最小化**,经济学与方法,"{""经济学与方法"": 19, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 2}",学术分析,"{""教程指南"": 3, ""学术分析"": 19, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",1229,34,36.15
content\posts\收敛：从“算式的极限”到“增长的极限”.zh-cn.md,收敛：从“算式的极限”到“增长的极限”,收敛：从算式的极限到增长的极限,shounian,https://blog.huaxiangshan.com/zh-cn/posts/shounian/,2023-10-01 18:59:15,2023,10,Stata,经济学习,GPT 总结: 这篇文章探讨了收敛在数学、概率论和经济学领域的应用和含义。从数学的极限和收敛开始，逐步展开到概率论中的大数定理和中心极限定理，最后深入到经济学中的收敛效应和计量统计中的收敛检验和俱乐部趋同分析。,Stata | 经济学习 | 一、高数: 极限和收敛 | 二、概率论：大数定理与中心极限 | 三、经济学意义：收敛效应 | 1、收敛假说（趋同,经济学与方法,"{""经济学与方法"": 89, ""软件工具与技术"": 4, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 6}",学术分析,"{""教程指南"": 1, ""学术分析"": 16, ""评论随笔"": 3, ""文艺评论"": 0, ""游记纪实"": 0}",977,63,15.51
content\posts\河边的错误是什么.zh-cn.md,河边的错误是什么,《河边的错误》是什么,h,https://blog.huaxiangshan.com/zh-cn/posts/h/,2023-10-29 18:52:19,2023,10,电影,影视剧,Only the River Flows,电影 | 影视剧 | 河边的错误是什么？ | 宇宙探索编辑部 | river | only,文学影视与文艺评论,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 19, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",评论随笔,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 20, ""文艺评论"": 7, ""游记纪实"": 0}",138,47,2.94
content\posts\客观赋权：PCA、CRITIC、EWM、COV.zh-cn.md,客观赋权：PCA、CRITIC、EWM、COV,客观赋权：PCA、CRITIC、EWM、COV,kgfq,https://blog.huaxiangshan.com/zh-cn/posts/kgfq/,2023-11-20 15:27:17,2023,11,Stata,软件工具 | 经济学习,经济学赋权打分方法：PCA、CRITIC、EWM、COV。并且记录了一些易错点,Stata | 软件工具 | 经济学习 | 一、“标准化”和“归一化 | 1、归一化（**Normalization** | 1-1、归一化 stata 代码,软件工具与技术,"{""经济学与方法"": 9, ""软件工具与技术"": 24, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 2}",学术分析,"{""教程指南"": 10, ""学术分析"": 30, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",769,60,12.82
content\posts\真物与伪物.zh-cn.md,真物与伪物,动机论：二次元的真物与伪物,zyw,https://blog.huaxiangshan.com/zh-cn/posts/zyw/,2023-12-10 16:08:54,2023,12,二次元,影视剧,真物和伪物是二次元作品中常见的讨论。个人认为想清这个问题对正确认识功利性的心态很重要,二次元 | 影视剧 | 伪物”，事在人为 | 真物和伪物 | 歌颂伪物的立场 | 第一层含义,社会观察与思想随笔,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 70}",评论随笔,"{""教程指南"": 1, ""学术分析"": 5, ""评论随笔"": 63, ""文艺评论"": 4, ""游记纪实"": 0}",458,116,3.95
content\posts\王小波.zh-cn.md,王小波,经世济民 or 因为山在那,wxb,https://blog.huaxiangshan.com/zh-cn/posts/wxb/,2023-12-10 16:08:54,2023,12,阅读 | 反思,阅读,GPT 总结: 全文借王小波作品和科学精神，探讨了学术追求的本质。强调了追求解答的动力来自于好奇心和求知欲，而不必追求功利或实用性。,阅读 | 反思 | gpt | 经世济民 or 因为山在那,社会观察与思想随笔,"{""经济学与方法"": 2, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 5, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 8}",评论随笔,"{""教程指南"": 0, ""学术分析"": 6, ""评论随笔"": 10, ""文艺评论"": 6, ""游记纪实"": 0}",111,25,4.44
content\posts\计量数据的分组与测度（STATA版）.zh-cn.md,计量数据的分组与测度（STATA版）,计量数据的分组与测度（STATA 版）,ji_sata,https://blog.huaxiangshan.com/zh-cn/posts/ji_sata/,2023-12-26 13:35:20,2023,12,因果效应 | Stata,软件工具 | 经济学习,计量经济学学习笔记，理解因果关系，区别混合、固定、随机效应和 stata 操作。也记录下个人对机制检验的理解，这涉及交互项的相关探讨,因果效应 | Stata | 软件工具 | 经济学习 | 一、统计学的悖论 | 辛普森悖论,经济学与方法,"{""经济学与方法"": 24, ""软件工具与技术"": 19, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 3}",学术分析,"{""教程指南"": 7, ""学术分析"": 52, ""评论随笔"": 3, ""文艺评论"": 0, ""游记纪实"": 0}",2038,176,11.58
content\posts\Zotero：RSS聚合订阅.zh-cn.md,Zotero：RSS聚合订阅,Zotero：RSS 聚合订阅,zoterorss,https://blog.huaxiangshan.com/zh-cn/posts/zoterorss/,2023-12-27 20:09:27,2023,12,Zotero | 文献阅读 | RSS,软件工具 | 经济学习,GPT 总结: 对于经济期刊的 RSS 订阅方法进行了介绍，包括了如何在 Zotero 中导入订阅以及国内外期刊的不同订阅类型。提供了许多知名期刊的直接订阅链接，并提及了一些间接订阅方式。此外，还列举了一些有趣的 RSS 源，如知乎每日精选、陶哲轩的博客和 Greg Mankiw 的博客。,Zotero | 文献阅读 | RSS | 软件工具 | 经济学习 | 省流列表,软件工具与技术,"{""经济学与方法"": 10, ""软件工具与技术"": 36, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 1}",教程指南,"{""教程指南"": 11, ""学术分析"": 10, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",243,21,11.57
content\posts\HLT生命周期与工资分解.zh-cn.md,HLT生命周期与工资分解,HLT: 生命周期与工资分解,hlt,https://blog.huaxiangshan.com/zh-cn/posts/hlt/,2024-01-19 09:58:30,2024,1,文献阅读 | Stata,经济学习,GPT 总结: 提供了一篇关于生命周期工资分解理论的深度探讨，包括了 Deaton 的方法和 HLT 法。这篇文章详细地介绍了分析工资在个体生命周期内的变化的方法和技术，以及如何处理共线性问题和解释时间、队列和年龄效应。文章还提到了使用虚拟变量和高阶差分法来估计这些效应，以及如何利用 HLT 法来研究工资增长中的时间效应。,文献阅读 | Stata | 经济学习 | 生命周期与工资分解 | APC 面板与生命周期 | Deaton 的方法（数理分解,经济学与方法,"{""经济学与方法"": 22, ""软件工具与技术"": 4, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 1}",学术分析,"{""教程指南"": 6, ""学术分析"": 28, ""评论随笔"": 5, ""文艺评论"": 0, ""游记纪实"": 0}",1991,96,20.74
