file,source_key,title,slug,url,date,year,month,tags,categories,summary,keywords,primary_theme,theme_scores,style,style_scores,word_count,sentence_count,avg_sentence_length
content\posts\LaTeX入门2.zh-cn.md,LaTeX入门2,LaTeX and Plots,latex2,https://blog.huaxiangshan.com/zh-cn/posts/latex2/,2022-10-19 18:52:19,2022,10,LaTeX,Software tools,,LaTeX | Software tools,Tools & tech,"{""经济学与方法"": 0, ""软件工具与技术"": 50, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Guides,"{""教程指南"": 15, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",162,17,9.53
content\posts\叫魂.zh-cn.md,叫魂,The Calling of Spirits,soul,https://blog.huaxiangshan.com/en/posts/soul/,2023-01-21 21:45:16,2023,1,Reading | Microhistory,Reading,,Reading | Microhistory,Arts & screen,"{""经济学与方法"": 4, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 17, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 1}",Analysis,"{""教程指南"": 1, ""学术分析"": 11, ""评论随笔"": 7, ""文艺评论"": 0, ""游记纪实"": 0}",203,51,3.98
content\posts\一份经济微观数据库的数据清洗快速指南.zh-cn.md,一份经济微观数据库的数据清洗快速指南,A Quick Data Cleaning Guide,data,https://blog.huaxiangshan.com/zh-cn/posts/data/,2023-03-14 18:09:26,2023,3,Stata,Software tools | Economics study,,Stata | Software tools | Economics study,Tools & tech,"{""经济学与方法"": 10, ""软件工具与技术"": 28, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 2, ""社会观察与思想随笔"": 11}",Analysis,"{""教程指南"": 22, ""学术分析"": 69, ""评论随笔"": 24, ""文艺评论"": 0, ""游记纪实"": 0}",843,105,8.03
content\posts\电影门.zh-cn.md,电影门,2023 Movie Talk: The Other Side of the Door,moviedoor,https://blog.huaxiangshan.com/en/posts/moviedoor/,2023-05-29 18:52:19,2023,5,Film,Film and TV,,Film | bug | GPT | plus,Tools & tech,"{""经济学与方法"": 1, ""软件工具与技术"": 6, ""文学影视与文艺评论"": 5, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Reviews,"{""教程指南"": 0, ""学术分析"": 5, ""评论随笔"": 3, ""文艺评论"": 9, ""游记纪实"": 0}",99,24,4.12
content\posts\写作建议.zh-cn.md,写作建议,Writing Advice,xz,https://blog.huaxiangshan.com/zh-cn/posts/xz/,2023-06-11 22:33:21,2023,6,Reading | Literature | Repost,Reading | Economics study,,Reading | Literature | Repost | Economics study,Economics & method,"{""经济学与方法"": 10, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 7}",Analysis,"{""教程指南"": 1, ""学术分析"": 15, ""评论随笔"": 6, ""文艺评论"": 10, ""游记纪实"": 0}",2943,736,4.0
content\posts\sss级重生猎人第84章.zh-cn.md,sss级重生猎人第84章,Archive: SSS-Class Revival Hunter Ch. 84,sss,https://blog.huaxiangshan.com/zh-cn/posts/sss/,2023-06-27 22:16:36,2023,6,Reading,Reading,,Reading,Arts & screen,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 2, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Reviews,"{""教程指南"": 5, ""学术分析"": 3, ""评论随笔"": 4, ""文艺评论"": 6, ""游记纪实"": 0}",421,177,2.38
content\posts\文字游戏.zh-cn.md,文字游戏,Word Games,wzyy,https://blog.huaxiangshan.com/zh-cn/posts/wzyy/,2023-07-01 18:52:19,2023,7,Games,,,Games | word | boss,Arts & screen,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 9, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Reviews,"{""教程指南"": 1, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 7, ""游记纪实"": 0}",156,32,4.88
content\posts\范里安《微观经济学》退税案例解析.zh-cn.md,范里安《微观经济学》退税案例解析,Analysis of the Tax Refund Case in Varian's Microeconomics,fla,https://blog.huaxiangshan.com/en/posts/fla/,2023-07-06 17:01:14,2023,7,Microeconomics,Economics study,,Microeconomics | Economics study,Economics & method,"{""经济学与方法"": 15, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 5}",Analysis,"{""教程指南"": 2, ""学术分析"": 15, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",254,42,6.05
content\posts\华为.zh-cn.md,华为,Everything You Need to Know About Huawei Member Day,hw,https://blog.huaxiangshan.com/en/posts/hw/,2023-07-07 17:23:04,2023,7,Travel,Travel notes,,Travel,Society & essays,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 3, ""社会观察与思想随笔"": 11}",Guides,"{""教程指南"": 4, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 2}",127,31,4.1
content\posts\概率论茆诗松笔记.zh-cn.md,概率论茆诗松笔记,Estimating π with a Needle? Notes on Probability Theory (Mao Shisong Edition),probability,https://blog.huaxiangshan.com/en/posts/probability/,2023-08-01 20:27:53,2023,8,Probability,Economics study,,Probability | Economics study,Economics & method,"{""经济学与方法"": 3, ""软件工具与技术"": 2, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 3}",Analysis,"{""教程指南"": 7, ""学术分析"": 12, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",555,40,13.88
content\posts\奇葩而通俗的中世纪指南《如何屠龙》.zh-cn.md,奇葩而通俗的中世纪指南《如何屠龙》,HOW TO SLAY A DRAGON,tl,https://blog.huaxiangshan.com/en/posts/tl/,2023-08-05 00:00:36,2023,8,Microhistory | Reading,Reading,,Microhistory | Reading,Economics & method,"{""经济学与方法"": 3, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 1, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 1}",Guides,"{""教程指南"": 10, ""学术分析"": 5, ""评论随笔"": 4, ""文艺评论"": 4, ""游记纪实"": 0}",129,41,3.15
content\posts\原神概率.zh-cn.md,原神概率,Genshin Crafting Odds,genshin,https://blog.huaxiangshan.com/zh-cn/posts/genshin/,2023-08-09 18:39:02,2023,8,Genshin Impact | Probability,Economics study,,Genshin Impact | Probability | Economics study,Society & essays,"{""经济学与方法"": 2, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 5}",Analysis,"{""教程指南"": 5, ""学术分析"": 6, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",986,26,37.92
content\posts\看展：时代的容颜.zh-cn.md,看展：时代的容颜,Faces of Time,art,https://blog.huaxiangshan.com/en/posts/art/,2023-08-20 01:07:44,2023,8,Art,Travel notes,,Art | Travel notes,Travel & field notes,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 4, ""社会观察与思想随笔"": 3}",Essays,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 13, ""文艺评论"": 0, ""游记纪实"": 2}",108,38,2.84
content\posts\自私的基因：利他道德之问.zh-cn.md,自私的基因：利他道德之问,The Selfish Gene: The Question of Altruistic Morality,selfishgene,https://blog.huaxiangshan.com/en/posts/selfishgene/,2023-08-30 14:56:30,2023,8,Reading,Reading,,Reading,Society & essays,"{""经济学与方法"": 4, ""软件工具与技术"": 1, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 9}",Analysis,"{""教程指南"": 7, ""学术分析"": 25, ""评论随笔"": 11, ""文艺评论"": 0, ""游记纪实"": 0}",1117,188,5.94
content\posts\Citespace文献可视化.zh-cn.md,Citespace文献可视化,Citespace Visualization,citespace,https://blog.huaxiangshan.com/zh-cn/posts/citespace/,2023-09-06 16:12:48,2023,9,Paper reading | Software picks | Citespace,Software tools | Economics study,,Paper reading | Software picks | Citespace | Software tools | Economics study,Tools & tech,"{""经济学与方法"": 2, ""软件工具与技术"": 18, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Guides,"{""教程指南"": 28, ""学术分析"": 22, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",480,59,8.14
content\posts\再见绘梨.zh-cn.md,再见绘梨,"Goodbye, Eri: Not Remembering Others, but Knowing Oneself",zjhl,https://blog.huaxiangshan.com/en/posts/zjhl/,2023-09-12 17:59:49,2023,9,ACG,Reading,,ACG | Reading,Arts & screen,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 54, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Reviews,"{""教程指南"": 2, ""学术分析"": 2, ""评论随笔"": 4, ""文艺评论"": 48, ""游记纪实"": 0}",219,68,3.22
content\posts\微观经济：罗伊、霍太林、谢泼德.zh-cn.md,微观经济：罗伊、霍太林、谢泼德,Microeconomics: Roy Hotelling Shephard,flapxq,https://blog.huaxiangshan.com/en/posts/微观经济：罗伊、霍太林、谢泼德.en/,2023-09-13 17:23:04,2023,9,Microeconomics,Economics study,,Microeconomics | Economics study,Economics & method,"{""经济学与方法"": 19, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 2}",Analysis,"{""教程指南"": 3, ""学术分析"": 19, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",1229,34,36.15
content\posts\收敛：从“算式的极限”到“增长的极限”.zh-cn.md,收敛：从“算式的极限”到“增长的极限”,Convergence: From the Limit of Equations to the Limit of Growth,shounian,https://blog.huaxiangshan.com/en/posts/shounian/,2023-10-01 18:59:15,2023,10,Stata,Economics study,,Stata | Economics study,Economics & method,"{""经济学与方法"": 89, ""软件工具与技术"": 4, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 6}",Analysis,"{""教程指南"": 1, ""学术分析"": 16, ""评论随笔"": 3, ""文艺评论"": 0, ""游记纪实"": 0}",977,63,15.51
content\posts\河边的错误是什么.zh-cn.md,河边的错误是什么,Only the River Flows,h,https://blog.huaxiangshan.com/en/posts/h/,2023-10-29 18:52:19,2023,10,Film,Film and TV,,Film | river | only,Arts & screen,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 19, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Essays,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 20, ""文艺评论"": 7, ""游记纪实"": 0}",138,47,2.94
content\posts\客观赋权：PCA、CRITIC、EWM、COV.zh-cn.md,客观赋权：PCA、CRITIC、EWM、COV,"Economic weighting and scoring methods: PCA, CRITIC, EWM",kgfq,https://blog.huaxiangshan.com/en/posts/kgfq/,2023-11-20 15:27:17,2023,11,Stata,Software tools | Economics study,,Stata | Software tools | Economics study,Tools & tech,"{""经济学与方法"": 9, ""软件工具与技术"": 24, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 2}",Analysis,"{""教程指南"": 10, ""学术分析"": 30, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",769,60,12.82
content\posts\真物与伪物.zh-cn.md,真物与伪物,On Motivation: The Genuine and Counterfeit in Anime and Manga,zyw,https://blog.huaxiangshan.com/en/posts/zyw/,2023-12-10 16:08:54,2023,12,ACG,Film and TV,,ACG | Film and TV,Society & essays,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 70}",Essays,"{""教程指南"": 1, ""学术分析"": 5, ""评论随笔"": 63, ""文艺评论"": 4, ""游记纪实"": 0}",458,116,3.95
content\posts\王小波.zh-cn.md,王小波,Pursuing Scholarship: Beyond 'Serving the World' and 'Because the Mountain Is There',wxb,https://blog.huaxiangshan.com/en/posts/wxb/,2023-12-10 16:08:54,2023,12,Reading | Reflection,Reading,,Reading | Reflection | GPT,Society & essays,"{""经济学与方法"": 2, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 5, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 8}",Essays,"{""教程指南"": 0, ""学术分析"": 6, ""评论随笔"": 10, ""文艺评论"": 6, ""游记纪实"": 0}",111,25,4.44
content\posts\计量数据的分组与测度（STATA版）.zh-cn.md,计量数据的分组与测度（STATA版）,Grouping and Measurement of Econometric Data (STATA Version),ji_sata,https://blog.huaxiangshan.com/en/posts/ji_sata/,2023-12-26 13:35:20,2023,12,Causal inference | Stata,Software tools | Economics study,,Causal inference | Stata | Software tools | Economics study,Economics & method,"{""经济学与方法"": 24, ""软件工具与技术"": 19, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 3}",Analysis,"{""教程指南"": 7, ""学术分析"": 52, ""评论随笔"": 3, ""文艺评论"": 0, ""游记纪实"": 0}",2038,176,11.58
content\posts\Zotero：RSS聚合订阅.zh-cn.md,Zotero：RSS聚合订阅,Zotero: RSS Feed Aggregation Subscription,zoterorss,https://blog.huaxiangshan.com/en/posts/zoterorss/,2023-12-27 20:09:27,2023,12,Zotero | Paper reading | RSS,Software tools | Economics study,,Zotero | Paper reading | RSS | Software tools | Economics study,Tools & tech,"{""经济学与方法"": 10, ""软件工具与技术"": 36, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 1}",Guides,"{""教程指南"": 11, ""学术分析"": 10, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",243,21,11.57
content\posts\HLT生命周期与工资分解.zh-cn.md,HLT生命周期与工资分解,HLT: Lifecycle and Wage Decomposition,hlt,https://blog.huaxiangshan.com/en/posts/hlt/,2024-01-19 09:58:30,2024,1,Paper reading | Stata,Economics study,,Paper reading | Stata | Economics study,Economics & method,"{""经济学与方法"": 22, ""软件工具与技术"": 4, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 1}",Analysis,"{""教程指南"": 6, ""学术分析"": 28, ""评论随笔"": 5, ""文艺评论"": 0, ""游记纪实"": 0}",1991,96,20.74
content\posts\聚合订阅：影视、漫画、文献自由.zh-cn.md,聚合订阅：影视、漫画、文献自由,"Aggregated subscriptions: free movies, comics",dingyue,https://blog.huaxiangshan.com/en/posts/dingyue/,2024-02-20 16:14:29,2024,2,Software picks,Software tools,,Software picks | Software tools,Tools & tech,"{""经济学与方法"": 0, ""软件工具与技术"": 28, ""文学影视与文艺评论"": 1, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Guides,"{""教程指南"": 27, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 5, ""游记纪实"": 0}",134,36,3.72
content\posts\因果效应.zh-cn.md,因果效应,Causal Effec,effect,https://blog.huaxiangshan.com/en/posts/effect/,2024-02-28 18:27:40,2024,2,Paper reading | Causal inference,Economics study,,Paper reading | Causal inference | Economics study,Economics & method,"{""经济学与方法"": 37, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 12}",Analysis,"{""教程指南"": 3, ""学术分析"": 47, ""评论随笔"": 10, ""文艺评论"": 1, ""游记纪实"": 0}",1354,112,12.09
content\posts\Hugo搭建Giscus评论区.zh-cn.md,Hugo搭建Giscus评论区,Setting Up Giscus Comment Section with Hugo,comment,https://blog.huaxiangshan.com/en/posts/comment/,2024-03-05 15:45:18,2024,3,Hugo,Hugo setup notes,,Hugo,Tools & tech,"{""经济学与方法"": 0, ""软件工具与技术"": 54, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Guides,"{""教程指南"": 10, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 9, ""游记纪实"": 0}",98,15,6.53
content\posts\Hugo自定义字体.zh-cn.md,Hugo自定义字体,The Custom Font in Hugo,font,https://blog.huaxiangshan.com/en/posts/font/,2024-03-05 22:11:48,2024,3,Hugo,Hugo setup notes,,Hugo,Tools & tech,"{""经济学与方法"": 0, ""软件工具与技术"": 26, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Guides,"{""教程指南"": 6, ""学术分析"": 0, ""评论随笔"": 3, ""文艺评论"": 0, ""游记纪实"": 0}",178,36,4.94
content\posts\stata爬虫学习.zh-cn.md,stata爬虫学习,Web Scraping in Stata,pachong,https://blog.huaxiangshan.com/zh-cn/posts/pachong/,2024-03-06 13:19:39,2024,3,Web scraping | Stata,Software tools | Economics study,,Web scraping | Stata | Software tools | Economics study,Tools & tech,"{""经济学与方法"": 8, ""软件工具与技术"": 75, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Analysis,"{""教程指南"": 19, ""学术分析"": 27, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",264,34,7.76
content\posts\2024观剧总结和“命运”相处的几种方式.zh-cn.md,2024观剧总结和“命运”相处的几种方式,2024 viewing roundup: a few ways of living with fate,kj_2024,https://blog.huaxiangshan.com/en/posts/kj_2024/,2024-03-08 00:00:58,2024,3,TV drama,Film and TV,,TV drama | Film and TV,Arts & screen,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 36, ""旅行调研与地方观察"": 1, ""社会观察与思想随笔"": 0}",Essays,"{""教程指南"": 0, ""学术分析"": 1, ""评论随笔"": 31, ""文艺评论"": 10, ""游记纪实"": 1}",227,56,4.05
content\posts\速通黄鹤楼.zh-cn.md,速通黄鹤楼,Tianhe Airport Layover Guide: A Quick Trip to Yellow Crane Tower (6 h),hxl,https://blog.huaxiangshan.com/en/posts/hxl/,2024-03-10 16:08:54,2024,3,Travel,Travel notes,,Travel,Travel & field notes,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 24, ""社会观察与思想随笔"": 0}",Travel,"{""教程指南"": 5, ""学术分析"": 5, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 27}",148,27,5.48
content\posts\anaconda.zh-cn.md,anaconda,[Anaconda Error Solution] Anaconda bytes object has no attribute get,anaconda,https://blog.huaxiangshan.com/en/posts/anaconda/,2024-03-10 20:27:30,2024,3,Anaconda,Software tools,,Anaconda | Software tools | anaconda | java | get | windows,Tools & tech,"{""经济学与方法"": 0, ""软件工具与技术"": 46, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Guides,"{""教程指南"": 6, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",57,10,5.7
content\posts\stata输出Word表格.zh-cn.md,stata输出Word表格,stata输出Word表格,regout,https://blog.huaxiangshan.com/en/posts/stata输出word表格.en/,2024-03-13 17:33:02,2024,3,Stata,Economics study | Software tools,,Stata | Economics study | Software tools,Tools & tech,"{""经济学与方法"": 9, ""软件工具与技术"": 31, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Guides,"{""教程指南"": 30, ""学术分析"": 13, ""评论随笔"": 4, ""文艺评论"": 0, ""游记纪实"": 0}",116,23,5.04
content\posts\中文博客目录跳转失败.zh-cn.md,中文博客目录跳转失败,Fixing Hugo TOC Links,toc,https://blog.huaxiangshan.com/zh-cn/posts/toc/,2024-03-21 17:59:49,2024,3,Hugo,Hugo setup notes,,Hugo | hugo,Tools & tech,"{""经济学与方法"": 0, ""软件工具与技术"": 25, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Guides,"{""教程指南"": 3, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 1, ""游记纪实"": 0}",65,14,4.64
content\posts\Stata绘制Gis着色图.zh-cn.md,Stata绘制Gis着色图,GIS Choropleths in Stata,statagis,https://blog.huaxiangshan.com/zh-cn/posts/statagis/,2024-03-22 19:39:56,2024,3,Stata | GIS,Software tools | Economics study,,Stata | GIS | Software tools | Economics study,Tools & tech,"{""经济学与方法"": 2, ""软件工具与技术"": 46, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Analysis,"{""教程指南"": 35, ""学术分析"": 39, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",444,101,4.4
content\posts\反思：鄙视链中的经济学习心态.zh-cn.md,反思：鄙视链中的经济学习心态,Self-questioning: Econ-Learning mentality within the hierarchy of disdain,fs,https://blog.huaxiangshan.com/en/posts/fs/,2024-04-09 21:45:16,2024,4,Reflection,Economics study,,Reflection | Economics study,Economics & method,"{""经济学与方法"": 37, ""软件工具与技术"": 5, ""文学影视与文艺评论"": 2, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 15}",Analysis,"{""教程指南"": 1, ""学术分析"": 45, ""评论随笔"": 11, ""文艺评论"": 0, ""游记纪实"": 0}",199,41,4.85
content\posts\发展经济学：超边际分析（导论）（杨小凯).zh-cn.md,发展经济学：超边际分析（导论）（杨小凯),Development Economics: Marginal Analysis and Inframarginal Analysis (Introduction),yxk1,https://blog.huaxiangshan.com/en/posts/yxk1/,2024-04-10 20:20:20,2024,4,Macroeconomics | Development economics,Economics study,,Macroeconomics | Development economics | Economics study,Economics & method,"{""经济学与方法"": 83, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 7}",Analysis,"{""教程指南"": 4, ""学术分析"": 64, ""评论随笔"": 6, ""文艺评论"": 0, ""游记纪实"": 0}",306,80,3.83
